起报时间,预报时间,实际功率(MW),XGBoost 预测功率(MW),误差
2019/06/09/00:00,2019/06/09/13:30,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/13:45,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/14:00,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/14:15,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/14:30,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/14:45,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/15:00,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/15:15,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/15:30,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/15:45,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/16:00,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/16:15,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/16:30,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/16:45,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/17:00,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/17:15,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/17:30,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/17:45,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/18:00,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/18:15,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/18:30,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/18:45,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/19:00,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/19:15,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/19:30,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/19:45,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/20:00,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/20:15,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/20:30,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/20:45,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/21:00,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/21:15,0.110391,0.0,-0.110391
2019/06/09/00:00,2019/06/09/21:30,0.260576,0.0,-0.260576
2019/06/09/00:00,2019/06/09/21:45,0.357158,0.0,-0.357158
2019/06/09/00:00,2019/06/09/22:00,0.409594,0.4524043747802931,0.0428103747802931
2019/06/09/00:00,2019/06/09/22:15,0.516874,0.4758605549002408,-0.0410134450997591
2019/06/09/00:00,2019/06/09/22:30,0.862038,0.8972728833962325,0.0352348833962324
2019/06/09/00:00,2019/06/09/22:45,1.406123,1.453716547629508,0.0475935476295079
2019/06/09/00:00,2019/06/09/23:00,1.911363,1.8581560784666125,-0.0532069215333874
2019/06/09/00:00,2019/06/09/23:15,2.607482,2.4507174323103857,-0.1567645676896143
2019/06/09/00:00,2019/06/09/23:30,3.392259,3.671474771947967,0.2792157719479666
2019/06/09/00:00,2019/06/09/23:45,3.893317,4.063865383203376,0.1705483832033754
2019/06/10/00:00,2019/06/10/00:00,4.703989,5.668271620992047,0.964282620992047
2019/06/10/00:00,2019/06/10/00:15,5.737976000000001,5.396857937837287,-0.3411180621627139
2019/06/10/00:00,2019/06/10/00:30,6.021468,5.796090250085665,-0.225377749914335
2019/06/10/00:00,2019/06/10/00:45,6.796697,6.384556562207226,-0.4121404377927744
2019/06/10/00:00,2019/06/10/01:00,7.598636999999999,7.551590359394879,-0.0470466406051199
2019/06/10/00:00,2019/06/10/01:15,7.910625,7.687973947419496,-0.2226510525805034
2019/06/10/00:00,2019/06/10/01:30,8.27397035,8.106962777315319,-0.1670075726846818
2019/06/10/00:00,2019/06/10/01:45,8.27397035,8.069497576523487,-0.2044727734765139
2019/06/10/00:00,2019/06/10/02:00,8.27397035,8.251478765467109,-0.0224915845328919
2019/06/10/00:00,2019/06/10/02:15,8.27397035,8.444018241136867,0.1700478911368659
2019/06/10/00:00,2019/06/10/02:30,8.27397035,8.60462956350683,0.3306592135068289
2019/06/10/00:00,2019/06/10/02:45,8.27397035,8.509289045442593,0.2353186954425918
2019/06/10/00:00,2019/06/10/03:00,8.27397035,8.188661939978964,-0.085308410021037
2019/06/10/00:00,2019/06/10/03:15,6.345279,5.275271525296589,-1.0700074747034105
2019/06/10/00:00,2019/06/10/03:30,8.27397035,7.90619361610368,-0.3677767338963207
2019/06/10/00:00,2019/06/10/03:45,8.27397035,8.165826306127185,-0.1081440438728158
2019/06/10/00:00,2019/06/10/04:00,8.27397035,8.423304001376389,0.1493336513763878
2019/06/10/00:00,2019/06/10/04:15,7.986928999999999,6.738987001392348,-1.2479419986076508
2019/06/10/00:00,2019/06/10/04:30,8.27397035,9.167359890819563,0.8933895408195625
2019/06/10/00:00,2019/06/10/04:45,8.27397035,8.706861934097718,0.4328915840977174
2019/06/10/00:00,2019/06/10/05:00,8.27397035,6.707656534221378,-1.5663138157786225
2019/06/10/00:00,2019/06/10/05:15,5.902718,6.198365472812751,0.2956474728127505
