forecast_time,predicted_power,start_time
2023/2/24 18:30,0,2023/2/21
2023/2/24 18:45,0,2023/2/21
2023/2/24 19:00,0,2023/2/21
2023/2/24 19:15,0,2023/2/21
2023/2/24 19:30,0,2023/2/21
2023/2/24 19:45,0,2023/2/21
2023/2/24 20:00,0,2023/2/21
2023/2/24 20:15,0,2023/2/21
2023/2/24 20:30,0,2023/2/21
2023/2/24 20:45,0,2023/2/21
2023/2/24 21:00,0,2023/2/21
2023/2/24 21:15,0,2023/2/21
2023/2/24 21:30,0,2023/2/21
2023/2/24 21:45,0,2023/2/21
2023/2/24 22:00,0.008108401,2023/2/21
2023/2/24 22:15,0,2023/2/21
2023/2/24 22:30,0,2023/2/21
2023/2/24 22:45,0.026844331,2023/2/21
2023/2/24 23:00,0.307038834,2023/2/21
2023/2/24 23:15,0.54742133,2023/2/21
2023/2/24 23:30,0.48986966,2023/2/21
2023/2/24 23:45,0.432847288,2023/2/21
2023/2/25 0:00,1.259356001,2023/2/21
2023/2/25 0:15,0.936674096,2023/2/21
2023/2/25 0:30,0.937498861,2023/2/21
2023/2/25 0:45,1.228210607,2023/2/21
2023/2/25 1:00,1.691041231,2023/2/21
2023/2/25 1:15,1.66005289,2023/2/21
2023/2/25 1:30,1.737904907,2023/2/21
2023/2/25 1:45,1.377046977,2023/2/21
2023/2/25 2:00,1.957707736,2023/2/21
2023/2/25 2:15,2.180465788,2023/2/21
2023/2/25 2:30,2.058351828,2023/2/21
2023/2/25 2:45,2.062310773,2023/2/21
2023/2/25 3:00,2.63577647,2023/2/21
2023/2/25 3:15,3.253185501,2023/2/21
2023/2/25 3:30,2.809193515,2023/2/21
2023/2/25 3:45,2.867582825,2023/2/21
2023/2/25 4:00,2.84599912,2023/2/21
2023/2/25 4:15,2.955900739,2023/2/21
2023/2/25 4:30,2.680944659,2023/2/21
2023/2/25 4:45,2.747526826,2023/2/21
2023/2/25 5:00,3.055084577,2023/2/21
2023/2/25 5:15,1.928861966,2023/2/21
2023/2/25 5:30,2.975164459,2023/2/21
2023/2/25 5:45,1.738731479,2023/2/21
2023/2/25 6:00,2.668258004,2023/2/21
2023/2/25 6:15,2.72186568,2023/2/21
2023/2/25 6:30,2.587396553,2023/2/21
2023/2/25 6:45,2.448666168,2023/2/21
2023/2/25 7:00,1.376446648,2023/2/21
2023/2/25 7:15,1.894050329,2023/2/21
2023/2/25 7:30,2.017335289,2023/2/21
2023/2/25 7:45,1.359109442,2023/2/21
2023/2/25 8:00,1.165336325,2023/2/21
2023/2/25 8:15,1.350613706,2023/2/21
2023/2/25 8:30,1.261896412,2023/2/21
2023/2/25 8:45,0.940629983,2023/2/21
2023/2/25 9:00,0.227074676,2023/2/21
2023/2/25 9:15,0.441148869,2023/2/21
2023/2/25 9:30,0.515021305,2023/2/21
2023/2/25 9:45,0.492831881,2023/2/21
2023/2/25 10:00,0.064694079,2023/2/21
2023/2/25 10:15,0,2023/2/21
2023/2/25 10:30,0.005640175,2023/2/21
2023/2/25 10:45,0,2023/2/21
2023/2/25 11:00,0,2023/2/21
2023/2/25 11:15,0,2023/2/21
2023/2/25 11:30,0,2023/2/21
2023/2/25 11:45,0,2023/2/21
2023/2/25 12:00,0,2023/2/21
2023/2/25 12:15,0,2023/2/21
2023/2/25 12:30,0,2023/2/21
2023/2/25 12:45,0,2023/2/21
2023/2/25 13:00,0,2023/2/21
2023/2/25 13:15,0,2023/2/21
2023/2/25 13:30,0,2023/2/21
2023/2/25 13:45,0,2023/2/21
2023/2/25 14:00,0,2023/2/21
2023/2/25 14:15,0,2023/2/21
2023/2/25 14:30,0,2023/2/21
2023/2/25 14:45,0,2023/2/21
2023/2/25 15:00,0,2023/2/21
2023/2/25 15:15,0,2023/2/21
2023/2/25 15:30,0,2023/2/21
2023/2/25 15:45,0,2023/2/21
2023/2/25 16:00,0,2023/2/21
2023/2/25 16:15,0,2023/2/21
2023/2/25 16:30,0,2023/2/21
2023/2/25 16:45,0,2023/2/21
2023/2/25 17:00,0,2023/2/21
2023/2/25 17:15,0,2023/2/21
2023/2/25 17:30,0,2023/2/21
2023/2/25 17:45,0,2023/2/21
2023/2/25 18:00,0,2023/2/21
2023/2/25 18:15,0,2023/2/21
2023/2/25 18:30,0,2023/2/21
2023/2/25 18:45,0,2023/2/21
2023/2/25 19:00,0,2023/2/21
2023/2/25 19:15,0,2023/2/21
2023/2/25 19:30,0,2023/2/21
2023/2/25 19:45,0,2023/2/21
2023/2/25 20:00,0,2023/2/21
2023/2/25 20:15,0,2023/2/21
2023/2/25 20:30,0,2023/2/21
2023/2/25 20:45,0,2023/2/21
2023/2/25 21:00,0,2023/2/21
2023/2/25 21:15,0,2023/2/21
2023/2/25 21:30,0,2023/2/21
2023/2/25 21:45,0,2023/2/21
2023/2/25 22:00,0,2023/2/21
2023/2/25 22:15,0.048290597,2023/2/21
2023/2/25 22:30,0.012402356,2023/2/21
2023/2/25 22:45,0,2023/2/21
2023/2/25 23:00,0.439993157,2023/2/21
2023/2/25 23:15,0.35964151,2023/2/21
2023/2/25 23:30,0.415973891,2023/2/21
2023/2/25 23:45,0.445066591,2023/2/21
2023/2/26 0:00,1.179515454,2023/2/21
2023/2/26 0:15,1.018068303,2023/2/21
2023/2/26 0:30,1.038061447,2023/2/21
2023/2/26 0:45,1.253740157,2023/2/21
2023/2/26 1:00,1.443966705,2023/2/21
2023/2/26 1:15,1.559394214,2023/2/21
2023/2/26 1:30,1.482045009,2023/2/21
2023/2/26 1:45,1.710736119,2023/2/21
2023/2/26 2:00,2.212258073,2023/2/21
2023/2/26 2:15,2.005357431,2023/2/21
2023/2/26 2:30,1.815150209,2023/2/21
2023/2/26 2:45,2.923292091,2023/2/21
2023/2/26 3:00,2.648341647,2023/2/21
2023/2/26 3:15,2.004292397,2023/2/21
2023/2/26 3:30,2.416475476,2023/2/21
2023/2/26 3:45,2.471986277,2023/2/21
2023/2/26 4:00,2.221817082,2023/2/21
2023/2/26 4:15,2.504961549,2023/2/21
2023/2/26 4:30,3.061961391,2023/2/21
2023/2/26 4:45,2.323054868,2023/2/21
2023/2/26 5:00,2.104761634,2023/2/21
2023/2/26 5:15,3.288658294,2023/2/21
2023/2/26 5:30,2.345695896,2023/2/21
2023/2/26 5:45,2.333157315,2023/2/21
2023/2/26 6:00,2.68702207,2023/2/21
2023/2/26 6:15,2.484477753,2023/2/21
2023/2/26 6:30,2.553654167,2023/2/21
2023/2/26 6:45,2.584039899,2023/2/21
2023/2/26 7:00,1.959597906,2023/2/21
2023/2/26 7:15,1.304742286,2023/2/21
2023/2/26 7:30,1.885667165,2023/2/21
2023/2/26 7:45,1.839421679,2023/2/21
2023/2/26 8:00,1.061870047,2023/2/21
2023/2/26 8:15,0.640084765,2023/2/21
2023/2/26 8:30,0.968739624,2023/2/21
2023/2/26 8:45,0.943790306,2023/2/21
2023/2/26 9:00,0.283751,2023/2/21
2023/2/26 9:15,0.264357254,2023/2/21
2023/2/26 9:30,0.391607557,2023/2/21
2023/2/26 9:45,0.291319272,2023/2/21
2023/2/26 10:00,0.072783923,2023/2/21
2023/2/26 10:15,0.001570784,2023/2/21
2023/2/26 10:30,0,2023/2/21
2023/2/26 10:45,0.001423219,2023/2/21
2023/2/26 11:00,0,2023/2/21
2023/2/26 11:15,0,2023/2/21
2023/2/26 11:30,0,2023/2/21
2023/2/26 11:45,0,2023/2/21
2023/2/26 12:00,0,2023/2/21
2023/2/26 12:15,0,2023/2/21
2023/2/26 12:30,0,2023/2/21
2023/2/26 12:45,0,2023/2/21
2023/2/26 13:00,0,2023/2/21
2023/2/26 13:15,0,2023/2/21
2023/2/26 13:30,0,2023/2/21
2023/2/26 13:45,0,2023/2/21
2023/2/26 14:00,0,2023/2/21
2023/2/26 14:15,0,2023/2/21
2023/2/26 14:30,0,2023/2/21
2023/2/26 14:45,0,2023/2/21
2023/2/26 15:00,0,2023/2/21
2023/2/26 15:15,0,2023/2/21
2023/2/26 15:30,0,2023/2/21
2023/2/26 15:45,0,2023/2/21
2023/2/26 16:00,0,2023/2/21
2023/2/26 16:15,0,2023/2/21
2023/2/26 16:30,0,2023/2/21
2023/2/26 16:45,0,2023/2/21
2023/2/26 17:00,0,2023/2/21
2023/2/26 17:15,0,2023/2/21
2023/2/26 17:30,0,2023/2/21
2023/2/26 17:45,0,2023/2/21
2023/2/26 18:00,0,2023/2/21
2023/2/26 18:15,0,2023/2/21
2023/2/26 18:30,0,2023/2/21
2023/2/26 18:45,0,2023/2/21
2023/2/26 19:00,0,2023/2/21
2023/2/26 19:15,0,2023/2/21
2023/2/26 19:30,0,2023/2/21
2023/2/26 19:45,0,2023/2/21
2023/2/26 20:00,0,2023/2/21
2023/2/26 20:15,0,2023/2/21
2023/2/26 20:30,0,2023/2/21
2023/2/26 20:45,0,2023/2/21
